update,epoch,sample,state_max_abs,state_max_ulp,logit_abs,first_numerical,material_divergence
1,0,0,0,0,3.7252903e-09,0,0
2,0,1,1.86264515e-09,1,1.86264515e-09,1,0
250,4,49,7.4505806e-09,11,0,0,0
500,9,49,2.98023224e-08,5,0,0,0
750,14,49,5.96046448e-08,12,2.98023224e-08,0,0
1000,19,49,5.96046448e-08,15,2.98023224e-08,0,0
1250,24,49,1.1920929e-07,12,0,0,0
1500,29,49,2.38418579e-07,13,1.1920929e-07,0,0
1750,34,49,3.57627869e-07,16,5.96046448e-08,0,0
2000,39,49,4.76837158e-07,26,0,0,0
2250,44,49,5.96046448e-07,65,1.78813934e-07,0,0
2500,49,49,5.96046448e-07,95,2.38418579e-07,0,0
2750,54,49,4.76837158e-07,77,1.78813934e-07,0,0
3000,59,49,5.96046448e-07,278,1.78813934e-07,0,0
3250,64,49,5.96046448e-07,336,0,0,0
3500,69,49,1.07288361e-06,139,3.57627869e-07,0,0
3750,74,49,8.34465027e-07,344,5.96046448e-07,0,0
4000,79,49,9.53674316e-07,185,9.53674316e-07,0,0
4250,84,49,1.07288361e-06,88,4.76837158e-07,0,0
4500,89,49,1.90734863e-06,152,1.16229057e-06,0,0
4750,94,49,1.90734863e-06,246,9.53674316e-07,0,0
5000,99,49,1.90734863e-06,2287,4.76837158e-07,0,0
5250,104,49,2.14576721e-06,599,1.1920929e-07,0,0
5500,109,49,1.90734863e-06,4850,1.1920929e-07,0,0
5750,114,49,1.90734863e-06,618,1.1920929e-07,0,0
6000,119,49,2.14576721e-06,626,4.76837158e-07,0,0
6250,124,49,2.14576721e-06,633,4.76837158e-07,0,0
6500,129,49,1.90734863e-06,317,5.96046448e-07,0,0
6750,134,49,1.90734863e-06,5155,4.76837158e-07,0,0
7000,139,49,2.14576721e-06,322,6.55651093e-07,0,0
7250,144,49,1.90734863e-06,2578,1.1920929e-07,0,0
7500,149,49,2.14576721e-06,726,1.1920929e-06,0,0
7750,154,49,2.14576721e-06,374,7.15255737e-07,0,0
8000,159,49,2.38418579e-06,732,3.57627869e-07,0,0
8250,164,49,2.62260437e-06,417,0,0,0
8500,169,49,2.62260437e-06,322,1.1920929e-06,0,0
8750,174,49,2.62260437e-06,323,1.78813934e-06,0,0
