category            n  scalar_ms   sgemm_ms  speedup   reps   max_abs_diff
qkv_proj            4     6.3245     0.2480    25.50x     10    5.72205e-06
qkv_proj           16    25.7410     0.5470    47.06x     10    6.19888e-06
qkv_proj           32    50.9590     0.9210    55.33x     10    8.58307e-06
qkv_proj           64   101.7730     1.5890    64.05x     10    8.58307e-06
out_proj            4     2.0755     0.1160    17.89x     10    2.67029e-05
out_proj           16     8.6675     0.2500    34.67x     10    2.67029e-05
out_proj           32    16.6555     0.3495    47.66x     10    3.05176e-05
out_proj           64    33.3545     0.6435    51.83x     10    3.39746e-05
ffn_expand          4    19.6825     0.4565    43.12x     10    1.71661e-05
ffn_expand         16    74.6085     0.7990    93.38x     10    1.71661e-05
ffn_expand         32   150.8065     1.2850   117.36x     10    2.28882e-05
ffn_expand         64   298.6720     2.2210   134.48x     10    2.28882e-05
ffn_proj            4     9.0520     0.3950    22.92x     10    0.000259399
ffn_proj           16    35.7070     0.6755    52.86x     10    0.000259399
ffn_proj           32    71.9035     1.2245    58.72x     10    0.000259399
ffn_proj           64   143.9780     2.3240    61.95x     10    0.000259399
lm_head             1    34.9445     5.5345     6.31x     10    7.62939e-05
