category	n	rep	scalar_first	scalar_ms	sgemm_ms	max_abs_diff
qkv_proj	4	0	1	6.347	0.271	5.7220459e-06
qkv_proj	4	1	0	6.343	0.232	5.7220459e-06
qkv_proj	4	2	1	6.316	0.264	5.7220459e-06
qkv_proj	4	3	0	6.361	0.224	5.7220459e-06
qkv_proj	4	4	1	6.306	0.244	5.7220459e-06
qkv_proj	4	5	0	6.333	0.257	5.7220459e-06
qkv_proj	4	6	1	6.248	0.252	5.7220459e-06
qkv_proj	4	7	0	6.306	0.228	5.7220459e-06
qkv_proj	4	8	1	6.275	0.289	5.7220459e-06
qkv_proj	4	9	0	6.337	0.233	5.7220459e-06
qkv_proj	16	0	1	25.679	0.798	6.19888306e-06
qkv_proj	16	1	0	27.672	0.701	6.19888306e-06
qkv_proj	16	2	1	28.066	0.548	6.19888306e-06
qkv_proj	16	3	0	25.141	0.515	6.19888306e-06
qkv_proj	16	4	1	25.023	0.546	6.19888306e-06
qkv_proj	16	5	0	25.081	0.494	6.19888306e-06
qkv_proj	16	6	1	27.634	0.724	6.19888306e-06
qkv_proj	16	7	0	25.803	0.673	6.19888306e-06
qkv_proj	16	8	1	25.349	0.527	6.19888306e-06
qkv_proj	16	9	0	27.547	0.484	6.19888306e-06
qkv_proj	32	0	1	73.152	1.441	8.58306885e-06
qkv_proj	32	1	0	51.048	1.289	8.58306885e-06
qkv_proj	32	2	1	53.815	0.914	8.58306885e-06
qkv_proj	32	3	0	50.088	0.894	8.58306885e-06
qkv_proj	32	4	1	50.720	0.940	8.58306885e-06
qkv_proj	32	5	0	51.219	0.916	8.58306885e-06
qkv_proj	32	6	1	51.032	0.926	8.58306885e-06
qkv_proj	32	7	0	50.027	0.855	8.58306885e-06
qkv_proj	32	8	1	50.878	1.045	8.58306885e-06
qkv_proj	32	9	0	50.886	0.861	8.58306885e-06
qkv_proj	64	0	1	106.459	3.061	8.58306885e-06
qkv_proj	64	1	0	112.856	3.263	8.58306885e-06
qkv_proj	64	2	1	100.353	1.975	8.58306885e-06
qkv_proj	64	3	0	100.724	1.523	8.58306885e-06
qkv_proj	64	4	1	100.023	1.605	8.58306885e-06
qkv_proj	64	5	0	101.404	1.551	8.58306885e-06
qkv_proj	64	6	1	102.142	1.573	8.58306885e-06
qkv_proj	64	7	0	101.191	1.528	8.58306885e-06
qkv_proj	64	8	1	102.361	1.635	8.58306885e-06
qkv_proj	64	9	0	103.035	1.558	8.58306885e-06
out_proj	4	0	1	2.074	0.125	2.67028809e-05
out_proj	4	1	0	2.056	0.108	2.67028809e-05
out_proj	4	2	1	2.041	0.129	2.67028809e-05
out_proj	4	3	0	2.056	0.111	2.67028809e-05
out_proj	4	4	1	2.052	0.125	2.67028809e-05
out_proj	4	5	0	2.087	0.103	2.67028809e-05
out_proj	4	6	1	2.077	0.117	2.67028809e-05
out_proj	4	7	0	2.084	0.116	2.67028809e-05
out_proj	4	8	1	2.077	0.109	2.67028809e-05
out_proj	4	9	0	2.091	0.116	2.67028809e-05
out_proj	16	0	1	8.340	0.228	2.67028809e-05
out_proj	16	1	0	8.458	0.212	2.67028809e-05
out_proj	16	2	1	8.866	0.210	2.67028809e-05
out_proj	16	3	0	8.762	0.248	2.67028809e-05
out_proj	16	4	1	9.165	0.385	2.67028809e-05
out_proj	16	5	0	9.371	0.443	2.67028809e-05
out_proj	16	6	1	8.867	0.358	2.67028809e-05
