mode	step	context_len	step_ms
cached	0	4	590.037
full	0	4	507.996
cached	1	5	147.609
full	1	5	623.154
cached	2	6	165.803
full	2	6	701.928
cached	3	7	156.946
full	3	7	1264.293
cached	4	8	262.050
full	4	8	885.852
cached	5	9	168.907
full	5	9	1006.785
cached	6	10	175.434
full	6	10	1124.708
cached	7	11	158.453
full	7	11	1209.235
cached	8	12	148.241
full	8	12	1347.380
cached	9	13	143.706
full	9	13	1825.494
cached	10	14	158.979
full	10	14	1534.722
cached	11	15	147.858
full	11	15	1610.084
cached	12	16	148.874
full	12	16	1728.628
cached	13	17	153.651
full	13	17	1911.801
cached	14	18	151.262
full	14	18	1928.488
cached	15	19	142.845
full	15	19	2124.835
cached	16	20	156.335
full	16	20	2459.908
cached	17	21	147.981
full	17	21	2554.539
cached	18	22	153.486
full	18	22	2540.649
cached	19	23	153.471
full	19	23	4265.505
cached	20	24	153.171
full	20	24	4261.999
cached	21	25	159.352
full	21	25	4538.548
cached	22	26	147.452
full	22	26	3538.355
cached	23	27	163.325
full	23	27	3466.931
cached	24	28	147.368
full	24	28	3424.693
cached	25	29	144.663
full	25	29	3576.752
cached	26	30	146.862
full	26	30	3640.548
cached	27	31	153.582
full	27	31	3694.394
cached	28	32	149.291
full	28	32	3574.516
cached	29	33	146.910
full	29	33	4235.524
cached	30	34	149.518
full	30	34	4169.026
cached	31	35	151.599
full	31	35	4287.171
cached	32	36	146.557
full	32	36	4777.112
cached	33	37	145.704
full	33	37	4357.958
cached	34	38	142.986
full	34	38	4648.706
cached	35	39	148.997
full	35	39	4766.658
cached	36	40	148.890
full	36	40	4654.873
cached	37	41	144.692
full	37	41	4739.834
cached	38	42	147.344
full	38	42	5038.773
cached	39	43	152.098
full	39	43	5049.498
